Name;burgMapLink
Diselly;https://watabou.github.io/city-generator/?name=Diselly&population=2368&size=18&seed=9151100960124&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.42
Dolis;https://watabou.github.io/city-generator/?name=Dolis&population=1148&size=14&seed=9151100960529&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Doreamos;https://watabou.github.io/city-generator/?name=Doreamos&population=8522&size=29&seed=9151100960220&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Dorville;https://watabou.github.io/city-generator/?name=Dorville&population=7128&size=27&seed=9151100960562&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Doryreumna;https://watabou.github.io/city-generator/?name=Doryreumna&population=10268&size=31&seed=9151100960151&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Doucheau;https://watabou.github.io/city-generator/?name=Doucheau&population=1799&size=16&seed=9151100960193&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.06
Dourintal;https://watabou.github.io/village-generator/?pop=1098&name=Dourintal&seed=9151100960482&width=1400&height=636&tags=highway%2Cdense
Dunari;https://watabou.github.io/city-generator/?name=Dunari&population=5149&size=24&seed=9151100960079&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Egekion;https://watabou.github.io/village-generator/?pop=1500&name=Egekion&seed=9151100960510&width=1400&height=636&tags=highway%2Cdense
Egeraclea;https://watabou.github.io/village-generator/?pop=1441&name=Egeraclea&seed=9151100960026&width=1400&height=636&tags=highway%2Cdense
Ekion;https://watabou.github.io/city-generator/?name=Ekion&population=13102&size=34&seed=9151100960567&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Eleuros;https://watabou.github.io/city-generator/?name=Eleuros&population=3016&size=20&seed=9151100960446&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.92
Elmive;https://watabou.github.io/village-generator/?pop=1090&name=Elmive&seed=9151100960286&width=1400&height=636&tags=highway%2Cdense
Eminamatas;https://watabou.github.io/city-generator/?name=Eminamatas&population=3661&size=21&seed=9151100960493&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
Emnos;https://watabou.github.io/city-generator/?name=Emnos&population=2168&size=17&seed=9151100960494&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Encszaton;https://watabou.github.io/village-generator/?pop=1495&name=Encszaton&seed=9151100960474&width=1400&height=636&tags=highway%2Cdense
Enhoes;https://watabou.github.io/city-generator/?name=Enhoes&population=18835&size=39&seed=9151100960325&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Eniakourion;https://watabou.github.io/city-generator/?name=Eniakourion&population=13889&size=35&seed=9151100960359&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Epina;https://watabou.github.io/village-generator/?pop=1434&name=Epina&seed=9151100960488&width=1400&height=636&tags=highway%2Cdense
Epita;https://watabou.github.io/city-generator/?name=Epita&population=9160&size=30&seed=9151100960309&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Epsanagri;https://watabou.github.io/city-generator/?name=Epsanagri&population=7032&size=27&seed=9151100960259&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Errerescom;https://watabou.github.io/city-generator/?name=Errerescom&population=3645&size=21&seed=9151100960276&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Ertares;https://watabou.github.io/city-generator/?name=Ertares&population=9866&size=31&seed=9151100960422&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Escres;https://watabou.github.io/city-generator/?name=Escres&population=3888&size=22&seed=9151100960015&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.18
Esjarpantaa;https://watabou.github.io/city-generator/?name=Esjarpantaa&population=16752&size=38&seed=9151100960112&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Eskinikkalu;https://watabou.github.io/city-generator/?name=Eskinikkalu&population=1316&size=14&seed=9151100960119&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
Esmos;https://watabou.github.io/city-generator/?name=Esmos&population=5846&size=25&seed=9151100960012&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.25
Esmostos;https://watabou.github.io/city-generator/?name=Esmostos&population=3400&size=21&seed=9151100960017&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.32
Esponestelle;https://watabou.github.io/city-generator/?name=Esponestelle&population=14434&size=36&seed=9151100960061&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.42
Eukenebaino;https://watabou.github.io/city-generator/?name=Eukenebaino&population=3568&size=21&seed=9151100960146&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Evesla;https://watabou.github.io/city-generator/?name=Evesla&population=14981&size=36&seed=9151100960033&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Fadaliro;https://watabou.github.io/city-generator/?name=Fadaliro&population=11259&size=32&seed=9151100960266&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Felerencs;https://watabou.github.io/city-generator/?name=Felerencs&population=10290&size=31&seed=9151100960308&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
Ferbatas;https://watabou.github.io/city-generator/?name=Ferbatas&population=7542&size=28&seed=9151100960389&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Fisch;https://watabou.github.io/city-generator/?name=Fisch&population=824&size=12&seed=9151100960480&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
Fluordorf;https://watabou.github.io/city-generator/?name=Fluordorf&population=4354&size=23&seed=9151100960582&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Freuhau;https://watabou.github.io/city-generator/?name=Freuhau&population=16082&size=37&seed=9151100960187&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.53
Fusamlostecel;https://watabou.github.io/city-generator/?name=Fusamlostecel&population=3119&size=20&seed=9151100960476&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Ganico;https://watabou.github.io/city-generator/?name=Ganico&population=2113&size=17&seed=9151100960362&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.14
Glattzenheim;https://watabou.github.io/city-generator/?name=Glattzenheim&population=8661&size=29&seed=9151100960067&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.11
Golcos;https://watabou.github.io/city-generator/?name=Golcos&population=4444&size=23&seed=9151100960183&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
Gorgos;https://watabou.github.io/city-generator/?name=Gorgos&population=2303&size=18&seed=9151100960093&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.39
Gormena;https://watabou.github.io/city-generator/?name=Gormena&population=10648&size=32&seed=9151100960076&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.22
Gornegalos;https://watabou.github.io/city-generator/?name=Gornegalos&population=6385&size=26&seed=9151100960050&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
